Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
763899855,68798,328,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
763973837,639796,329,,,,,,,,,,8.389,13103.006,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
764621281,685874,330,,,,,,,,,,8.389,12222.202,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
765312819,66495,332,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
765387186,639603,333,,,,,,,,,,8.389,13111.394,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
766037413,685331,334,,,,,,,,,,8.389,12238.979,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
766732152,66302,336,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
766799446,640084,337,,,,,,,,,,8.389,13103.006,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
767446442,686515,338,,,,,,,,,,8.389,12213.813,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
768143196,66527,340,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
768213115,641108,341,,,,,,,,,,8.389,13077.840,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
768865646,684627,342,,,,,,,,,,8.389,12247.368,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
769559201,69023,344,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
769633311,642324,345,,,,,,,,,,8.389,13052.674,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
770285619,687346,346,,,,,,,,,,8.389,12197.036,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
770981669,67263,348,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
771051588,639380,349,,,,,,,,,,8.389,13119.783,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
771695959,686515,350,,,,,,,,,,8.389,12213.813,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
772391722,66719,352,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
772465961,642131,353,,,,,,,,,,8.389,13061.063,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
773113116,686899,354,,,,,,,,,,8.389,12205.425,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
773809903,66558,356,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
773883149,639540,357,,,,,,,,,,8.389,13111.394,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
774527649,687570,358,,,,,,,,,,8.389,12197.036,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
775224019,66719,360,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
775297266,640211,361,,,,,,,,,,8.389,13094.617,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
775944453,686739,362,,,,,,,,,,8.389,12213.813,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
776641208,66558,364,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
776715478,639732,365,,,,,,,,,,8.389,13111.394,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
