Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
706833844,706850468,16624,0,16624,H2D_per_iter,41104,41104,0,0,46,,:46,H2D_per_iter
706851057,706860978,9921,0,9921,cufftExecC2C_forward,41104,41104,0,0,47,,:47,cufftExecC2C_forward
706861369,706866895,5526,0,5526,D2H_per_iter,41104,41104,0,0,48,,:48,D2H_per_iter
706867288,706872014,4726,0,4726,H2D_per_iter,41104,41104,0,0,49,,:49,H2D_per_iter
706872362,706879266,6904,0,6904,cufftExecC2C_forward,41104,41104,0,0,50,,:50,cufftExecC2C_forward
706879619,706884374,4755,0,4755,D2H_per_iter,41104,41104,0,0,51,,:51,D2H_per_iter
706884716,706889355,4639,0,4639,H2D_per_iter,41104,41104,0,0,52,,:52,H2D_per_iter
706889758,706897169,7411,0,7411,cufftExecC2C_forward,41104,41104,0,0,53,,:53,cufftExecC2C_forward
706897561,706902351,4790,0,4790,D2H_per_iter,41104,41104,0,0,54,,:54,D2H_per_iter
706902618,706907136,4518,0,4518,H2D_per_iter,41104,41104,0,0,55,,:55,H2D_per_iter
706907453,706917707,10254,0,10254,cufftExecC2C_forward,41104,41104,0,0,56,,:56,cufftExecC2C_forward
706917874,706921457,3583,0,3583,D2H_per_iter,41104,41104,0,0,57,,:57,D2H_per_iter
706921721,706924563,2842,0,2842,H2D_per_iter,41104,41104,0,0,58,,:58,H2D_per_iter
706924730,706929740,5010,0,5010,cufftExecC2C_forward,41104,41104,0,0,59,,:59,cufftExecC2C_forward
706929919,706932839,2920,0,2920,D2H_per_iter,41104,41104,0,0,60,,:60,D2H_per_iter
